TOTAL,ANIO,MES,DIA,DIA2,Tmin,Tmax,Temperature,Relative Humidity,Wind Speed,Wind Direction,luna,
55,1,7,25,2,19.4,19.4,19.4,84.39,7.2,90,3.442961184,
75,1,7,26,3,18.6,25.1,21.3,84.42,7.2,63.33,8.787565145,
58,1,7,27,4,19.1,26.1,22.6,65.33,9.4,85,16.04905506,
87,1,7,28,5,19.6,19.6,19.6,88.79,3.6,90,24.70908098,
64,1,7,29,6,20.1,27.6,25,70.77,7.6,117.5,34.25496479,
78,1,7,30,7,17.1,29.7,23.2,70.44,7.3,185.5,44.21533411,
71,1,7,31,1,21.6,30.9,26.8,56.72,7.6,162.5,54.17565826,
65,1,8,1,2,22.7,29.9,26.7,50.49,7.2,53.33,63.77955439,
80,1,8,2,3,21.4,30,26.4,58.24,7.6,112.25,72.72252524,
71,1,8,3,4,18.4,28.6,24.2,63.79,11.2,117.5,80.74320027,
57,1,8,4,5,19.7,28.4,25.5,59.43,7.6,200,87.61486904,
82,1,8,5,6,19.6,29.6,24.9,70.19,7.2,90,93.13836034,
81,1,8,6,7,21,28.7,24.8,63.86,7.6,132.5,97.13664925,
72,1,8,7,1,20.5,28.2,24.4,67.49,7.2,200,99.45185277,
57,1,8,8,2,26.1,26.4,26.3,54.56,13,73.33,99.94599959,
79,1,8,9,3,21.1,29.6,25.8,61.28,7.2,65,98.50751149,
48,1,8,10,4,21.7,27.4,24.7,61.42,22.3,143.33,95.0651741,
62,1,8,11,5,20.4,28.4,24.5,63.85,10.8,100,89.61015963,
50,1,8,12,6,20.5,29.1,24.9,71.75,7.2,90,82.2243239,
55,1,8,13,7,20.5,27.4,24.4,70.77,3.6,160,73.10984709,
75,1,8,14,1,18.2,25.9,22,71.7,7.2,225,62.61213855,
74,1,8,15,2,18.1,27.7,21.8,69.61,7.2,276.67,51.22612547,
69,1,8,16,3,16.1,29.4,23.2,67.31,7.2,110,39.57714307,
71,1,8,17,4,20.7,28.2,25,56.13,27.7,114,28.3726361,
57,1,8,18,5,20.1,28.6,24.3,68.6,7.2,56.67,18.32919987,
60,1,8,19,6,18.1,27.1,23.2,66.56,9.4,78,10.08847227,
69,1,8,20,7,19.9,27.1,24.5,60.6,9.4,105,4.141017379,
68,1,8,21,1,21.2,28.9,25.3,57.88,7.2,93.33,0.776340589,
65,1,8,22,2,21.1,27.4,24.6,62.46,3.8,113.67,0.069283368,
54,1,8,23,3,19.1,25.4,21.9,81.32,7.2,310,1.901611514,
77,1,8,24,4,16.1,21.7,18.3,85.27,9.4,180,6.007758149,
82,1,8,25,5,17.1,27.9,21.9,79.37,3.8,157.33,12.02928616,
83,1,8,26,6,19.6,27.1,23.9,73.66,3.6,90,19.56436724,
86,1,8,27,7,18,28,22.85,51.98,8.09,113,28.20421245,
82,1,8,28,1,18.6,26.9,23.3,70.64,3.6,145,37.55467003,
85,1,8,29,2,18.1,24.1,22.1,72.65,22.3,85,47.2456636,
58,1,8,30,3,18.6,20.5,19.8,86.86,7.2,100,56.93289794,
62,1,8,31,4,17.9,21.7,19.9,86.16,9.4,97.5,66.29580386,
79,1,9,1,5,19.1,25.1,22.6,70.66,7.2,63.33,75.03419615,
84,1,9,2,6,18.1,26.6,21.9,81.89,9.4,145,82.86474616,
67,1,9,3,7,20.2,25.9,23.4,61.03,9.4,113.33,89.51783864,
86,1,9,4,1,19.1,19.1,19.1,91.38,3.4,70,94.735787,
85,1,9,5,2,18.6,21.1,19.8,89.61,3.6,90,98.27429167,
70,1,9,6,3,19.1,24.2,21.4,82.97,7.2,110,99.90973352,
76,1,9,7,4,17.6,25.2,21.9,79.23,7.2,83.33,99.45470917,
