Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"zapopan","03/25/2018",18.6,32.1,26.7,2.5,25.69,29.8,7.2,,34,,0,0,,13.5,3.3,1009.1,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/26/2018",17.4,32.1,25.8,5.3,31.94,29.8,10.8,,226.67,,0,0,,12,10,1010.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/27/2018",18.6,31,25.9,5.3,30.05,28.9,7.3,,158,,0,0,,12,0,1011.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/28/2018",17.1,30,23.5,9.6,43.12,28.9,7.2,,205,,0,0,,12,20,1010.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/29/2018",17.6,28.4,23.5,5.4,32.18,27.1,7.2,,74,,0,0,,10.5,24.4,1010.8,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","03/30/2018",18.6,29.1,23.9,3,28.09,27.4,16.6,,86.67,,0,0,,14.1,35,1015.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","03/31/2018",18.1,30.6,25.6,6.5,31.62,29,24.1,,95,,0,0,,13,0,1015.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/01/2018",19.7,19.7,19.7,8.7,49.03,,3.6,,40,,0,0,,12,0,1014.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/02/2018",20.1,30.8,25.4,5.8,31.99,28.8,10.9,,318.5,,0,0,,12.1,0.9,1008.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/03/2018",25.1,25.1,25.1,,,,0,,,,0,0,,12.9,0,,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/04/2018",10.1,30.1,19.6,-1.2,30.67,28.2,13,,195,,0,0,,13.7,10,1009.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/05/2018",14.1,32.1,24.7,-4,17.65,29.8,7.2,,220,,0,0,,14.7,23.3,1008.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/06/2018",25.1,30.1,27.6,-4.4,12.18,28.2,20.5,,270,,0,0,,17.7,0,1005.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/07/2018",14.1,14.1,14.1,-0.9,35.62,,0,,,,0,0,,19.3,0,,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/08/2018",19.1,19.1,19.1,1.2,30.18,,3.6,,80,,0,0,,12,0,1014.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/09/2018",18.6,18.6,18.6,0.9,30.47,,,,,,0,0,,12,0,1014.9,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/10/2018",26.1,31.7,28.9,-1.4,13.9,29.5,7.6,,110,,0,0,,10.9,40,1010.6,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","04/11/2018",18.6,29.7,24.5,10.3,43.32,28.3,7.2,,143.33,,0,0,,12,33.3,1013.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
"zapopan","04/12/2018",18.2,26.7,22.4,10.4,48.79,,7.2,,45,,0,0,,12,5,1015.4,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/13/2018",11.1,29.2,21.4,0.4,25.99,27.5,10.8,,213.33,,0,0,,13,2.5,1012.3,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Clear"
"zapopan","04/14/2018",,,,,,,,,,,,,,,,,"",20.72163,-103.39335,"Zapopan, JAL, México","","",""
"zapopan","04/15/2018",18.9,30.3,24.9,1.6,22.57,28.4,7.2,,110,,0,0,,12,0,1013.7,"",20.72163,-103.39335,"Zapopan, JAL, México","","No data available","Clear"
"zapopan","04/16/2018",19.1,30.7,25.5,5.7,30.47,28.7,7.2,,86.67,,0,0,,12,66.7,1016.2,"",20.72163,-103.39335,"Zapopan, JAL, México","","","Partially cloudy"
