TOTAL,MES,DIA,DIA2,Temperature,Relative Humidity,Wind Speed,Wind Direction,luna,P
77,7,7,5,24.2,61.42,7.2,76.67,95.92213223,100
79,7,8,6,24.1,73.37,7.2,90,98.78545217,100
68,7,9,7,23.7,66.94,3.6,105,99.970546,100
71,7,10,1,21.3,76.28,3.6,113.33,99.40809568,100
70,7,11,2,20.2,84.27,3.6,55,97.04914591,100
62,7,12,3,23.9,67.38,7.2,243.33,92.87293018,100
56,7,13,4,22.2,71.88,7.2,185,86.90175044,100
66,7,14,5,20.1,87.17,3.6,90,79.2231237,100
53,7,15,6,24.6,58.95,7.2,90,70.01714918,100
70,7,16,7,24.1,59.92,3.6,170,59.58381679,100
75,7,17,1,23.5,66.05,3.6,186.67,48.36157228,100
72,7,18,2,24.4,64.45,7.2,83.33,36.92642008,100
53,7,19,3,23.8,70.42,7.2,83.33,25.96217459,100
77,7,20,4,22.7,65.54,3.6,113.33,16.19860123,100
81,7,21,5,23.9,67.56,3.8,118.33,8.324520005,100
50,7,22,6,24.3,66.18,7.2,90,2.893912045,100
69,7,23,7,24.7,63.09,11.2,110,0.249135985,100
72,7,24,1,20.1,79.27,3.6,80,0.48220193,100
55,7,25,2,19.4,84.39,7.2,90,3.442961184,100
75,7,26,3,21.3,84.42,7.2,63.33,8.787565145,100
58,7,27,4,22.6,65.33,9.4,85,16.04905506,100
87,7,28,5,19.6,88.79,3.6,90,24.70908098,100
64,7,29,6,25,70.77,7.6,117.5,34.25496479,100
78,7,30,7,23.2,70.44,7.3,185.5,44.21533411,100
71,7,31,1,26.8,56.72,7.6,162.5,54.17565826,100
65,8,1,2,26.7,50.49,7.2,53.33,63.77955439,100
80,8,2,3,26.4,58.24,7.6,112.25,72.72252524,100
71,8,3,4,24.2,63.79,11.2,117.5,80.74320027,100
57,8,4,5,25.5,59.43,7.6,200,87.61486904,100
82,8,5,6,24.9,70.19,7.2,90,93.13836034,100
81,8,6,7,24.8,63.86,7.6,132.5,97.13664925,100
72,8,7,1,24.4,67.49,7.2,200,99.45185277,100
57,8,8,2,26.3,54.56,13,73.33,99.94599959,100
79,8,9,3,25.8,61.28,7.2,65,98.50751149,100
48,8,10,4,24.7,61.42,22.3,143.33,95.0651741,100
62,8,11,5,24.5,63.85,10.8,100,89.61015963,100
50,8,12,6,24.9,71.75,7.2,90,82.2243239,100
55,8,13,7,24.4,70.77,3.6,160,73.10984709,100
75,8,14,1,22,71.7,7.2,225,62.61213855,100
74,8,15,2,21.8,69.61,7.2,276.67,51.22612547,100
69,8,16,3,23.2,67.31,7.2,110,39.57714307,100
71,8,17,4,25,56.13,27.7,114,28.3726361,100
57,8,18,5,24.3,68.6,7.2,56.67,18.32919987,100
60,8,19,6,23.2,66.56,9.4,78,10.08847227,100
69,8,20,7,24.5,60.6,9.4,105,4.141017379,100
68,8,21,1,25.3,57.88,7.2,93.33,0.776340589,100
65,8,22,2,24.6,62.46,3.8,113.67,0.069283368,100
54,8,23,3,21.9,81.32,7.2,310,1.901611514,100
77,8,24,4,18.3,85.27,9.4,180,6.007758149,100
82,8,25,5,21.9,79.37,3.8,157.33,12.02928616,100
83,8,26,6,23.9,73.66,3.6,90,19.56436724,100
86,8,27,7,22.85,51.98,8.09,113,28.20421245,100
82,8,28,1,23.3,70.64,3.6,145,37.55467003,100
85,8,29,2,22.1,72.65,22.3,85,47.2456636,100
58,8,30,3,19.8,86.86,7.2,100,56.93289794,100
62,8,31,4,19.9,86.16,9.4,97.5,66.29580386,100
79,9,1,5,22.6,70.66,7.2,63.33,75.03419615,100
84,9,2,6,21.9,81.89,9.4,145,82.86474616,100
67,9,3,7,23.4,61.03,9.4,113.33,89.51783864,100
86,9,4,1,19.1,91.38,3.4,70,94.735787,100
85,9,5,2,19.8,89.61,3.6,90,98.27429167,100
70,9,6,3,21.4,82.97,7.2,110,99.90973352,100
76,9,7,4,21.9,79.23,7.2,83.33,99.45470917,100
73,9,8,5,23.8,64.89,7.2,73.33,96.78271379,100
72,9,9,6,23.7,64.92,11.2,78,91.86007473,100
92,9,10,7,22.3,67.94,13,125,84.77970101,100
76,9,11,1,23.6,57.27,7.2,73.33,75.78805159,100
71,9,12,2,23.8,52.45,3.6,170,65.29539625,100
72,9,13,3,24.7,57.5,7.6,72.5,53.86123038,100
59,9,14,4,25.2,63.22,3.6,203.33,42.15198824,100
73,9,15,5,23.2,69.1,7.2,100,30.87583835,100
69,9,16,6,26.7,58.68,7.2,76.67,20.7067188,100
88,9,17,7,26.4,55.59,11.2,136.67,12.21376916,100
60,9,18,1,22,72.46,3.6,90,5.810952628,100
77,9,19,2,27.1,47.84,5.4,100,1.735330514,100
68,9,20,3,28.7,51.41,3.6,40,0.053842367,100
74,9,21,4,22.6,70.13,5.4,92.5,0.691091785,100
89,9,22,5,23.2,74.68,7.2,83.33,3.467050975,100
76,9,23,6,21.8,84.24,7.2,90,8.134235593,100
53,9,24,7,22.6,68.51,13,140,14.40743284,100
76,9,25,1,21.8,80.5,3.6,80,21.98343511,100
72,9,26,2,25.6,59.11,3.6,180,30.55171657,100
71,9,27,3,24.2,68.19,3.6,183.33,39.79874792,100
70,9,28,4,22.6,78.22,7.2,83.33,49.40873133,100
71,9,29,5,22.8,66.72,16.6,97,59.06262682,100
66,9,30,6,22.9,77.9,7.2,90,68.43633631,100
77,10,1,7,22.8,67.62,7.2,96.67,77.19855316,100
81,10,2,1,23.2,69.05,7.6,123.33,85.00936119,100
65,10,3,2,25.6,49.02,14.8,110,91.52188873,100
74,10,4,3,25.6,61.27,9.4,95,96.39043333,100
72,10,5,4,23.6,63.09,13,124,99.28853883,100
67,10,6,5,25.1,61.06,7.2,86.67,99.93881581,100
67,10,7,6,21.7,77.87,7.2,90,98.15275315,100
76,10,8,7,21.1,69.74,3.6,163.33,93.87416393,100
70,10,9,1,22.3,65.69,3.6,293.33,87.21589302,100
78,10,10,2,24.8,63.65,13,95.25,78.47799447,100
57,10,11,3,22.9,68.61,7.2,66.67,68.13821238,100
67,10,12,4,22.9,58.72,7.6,87.5,56.81219163,100
74,10,13,5,22.6,60.8,11.2,82.5,45.18940958,100
52,10,14,6,23,64.96,7.2,90,33.95808536,100
69,10,15,7,23.5,55.58,7.6,110,23.73528075,100
78,10,16,1,23.5,59.24,7.2,90,15.01590719,100
66,10,17,2,22,63.83,7.2,69.67,8.147711084,100
74,10,18,3,26.5,52.47,7.2,145,3.33149516,100
71,10,19,4,23.3,54.41,7.2,65,0.639828452,100
86,10,20,5,24.9,55.84,14.8,294,0.044924011,100
67,10,21,6,24.6,48.93,7.2,90,1.447122424,100
86,10,22,7,24.2,51.05,7.6,137.5,4.69825012,100
82,10,23,1,23.5,54.29,10.8,50,9.617477091,100
74,10,24,2,22.1,43.46,7.6,120,15.99999236,100
63,10,25,3,19.1,60.24,10.8,85,23.62026867,100
63,10,26,4,19,48.25,7.6,135,32.23189789,100
66,10,27,5,20.5,53.23,7.6,207.5,41.5653713,100
70,10,28,6,22.1,57.93,9.4,77.5,51.32441886,100
82,10,29,7,23.4,52.94,7.2,203.33,61.18127965,100
71,10,30,1,22.3,54.78,9.4,217.5,70.77196123,100
77,10,31,2,23.2,55.85,3.6,350,79.69407574,100
69,11,1,3,21.5,62.6,3.6,320,87.51155063,100
78,11,2,4,24.6,57.58,3.6,146.67,93.77128594,100
